,city,prop_size(lower),out_code,prop_price
659,cardiff,2780 ,CF3,275000
660,cardiff,2223 ,CF5,350000
661,cardiff,2045 ,CF14,300000
662,cardiff,3689 ,CF23,485000
663,cardiff,1906 ,CF71,250000
664,cardiff,7395 ,BS22,1010000
665,cardiff,2496 ,BS49,450000
666,cardiff,15649 ,CF48,675000
667,cardiff,3451 ,TA9,180000
668,cardiff,28307 ,NP22,1150000
669,cardiff,105185 ,NP22,650000
670,cardiff,103454 ,NP22,2500000
671,cardiff,1775 ,BS20,250000
672,cardiff,1775 ,BS20,250000
673,cardiff,4207892 ,NP23,1500000
674,cardiff,3041 ,NP16,180000
675,cardiff,1733 ,BS2,400000
676,cardiff,1,BS2, 10944 
677,cardiff,1367 ,BS2,800000
678,cardiff,3000 ,BS16,260000
679,cardiff,2420 ,BS15,300000
