,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
181,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
182,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
183,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
184,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL",1999950.0,"3,891 ",
185,"3 Retail Units For Sale/To Let, Canada Water, 24-28 Quebec Way, Rotherhithe, SE16 7LF",,"1,638 "," 5,446 "
186,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ",770000.0,"2,152 ",
187,"3, Kelvedon Road, Parsons Green, SW6 5BP",,"1,406 ",
188,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.0,"1,728 ",
189,"Public House Offered In Shell Condition, 177 Grove Street, Deptford, SE8 3QQ",,"2,900 ",
190,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
191,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
192,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
193,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
194,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
195,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
196,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
197,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
198,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
199,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
200,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
201,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
202,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
203,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL",1999950.0,"3,891 ",
204,"3 Retail Units For Sale/To Let, Canada Water, 24-28 Quebec Way, Rotherhithe, SE16 7LF",,"1,638 "," 5,446 "
205,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ",770000.0,"2,152 ",
206,"3, Kelvedon Road, Parsons Green, SW6 5BP",,"1,406 ",
207,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.0,"1,728 ",
208,"Public House Offered In Shell Condition, 177 Grove Street, Deptford, SE8 3QQ",,"2,900 ",
209,"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP",880000.0,"1,316 ",
210,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
211,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
212,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
213,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
214,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
215,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
216,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
217,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
218,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
219,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
220,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
221,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
222,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
223,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL",1999950.0,"3,891 ",
224,"3 Retail Units For Sale/To Let, Canada Water, 24-28 Quebec Way, Rotherhithe, SE16 7LF",,"1,638 "," 5,446 "
225,"Retail Unit With Small Yard To The Rear, 91-93 Queen’s Road, Peckham, SE15 2EZ",770000.0,"2,152 ",
226,"3, Kelvedon Road, Parsons Green, SW6 5BP",,"1,406 ",
227,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",925000.0,"1,728 ",
228,"Public House Offered In Shell Condition, 177 Grove Street, Deptford, SE8 3QQ",,"2,900 ",
229,"Retail Investment, 5 Milliners House, Eastfields Avenue, Riverside Quarter, Wandsworth, SW18 1LP",880000.0,"1,316 ",
230,"Riverside Residential Development Opportunity, Victoria Works, Osiers Road, London, SW18 1NR",,44132 ,
231,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
232,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
233,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
234,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
235,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
236,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
237,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
238,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
